Feature,Importance
age,0.3246434664975643
id,0.10805345161958903
avg_glucose_level,0.10243236475328688
bmi,0.0866292528434627
ever_married_Yes,0.0651641870951187
work_type_Self-employed,0.05143723460537961
work_type_Private,0.049470575795054164
smoking_status_formerly smoked,0.0479846564760067
Residence_type_Urban,0.043736616645818974
smoking_status_never smoked,0.03822953089365637
gender_Male,0.028101730423102426
smoking_status_smokes,0.025833049869424907
hypertension,0.012771946910159726
heart_disease,0.01005293951503517
work_type_children,0.005456341905420003
work_type_Never_worked,2.1770660657635184e-06
gender_Other,4.770858546439252e-07
